Sun Jun 26 15:28:08 2016

Number of Points = 20622
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
1.279295	2.176401	0.000000	0.001033	0.475975

1.222749	2.184818	0.005004	0.001043	0.475932
1.149242	2.146797	0.010009	0.001057	0.475698
1.114699	2.159841	0.015013	0.001063	0.475700
1.251421	2.087984	0.020017	0.001038	0.475618
1.169452	2.053517	0.025022	0.001053	0.475385
1.359816	1.916742	0.030026	0.001018	0.475137
1.242674	1.879359	0.035030	0.001040	0.474848
1.097743	1.844734	0.040035	0.001066	0.474532
1.014508	1.806250	0.045039	0.001082	0.474283
1.062610	1.705556	0.050043	0.001073	0.473980
1.133753	1.582642	0.055048	0.001060	0.473625
1.163475	1.466484	0.060052	0.001054	0.473240
1.072704	1.366132	0.065057	0.001071	0.472754
1.085135	1.259154	0.070061	0.001069	0.472379
1.060529	1.115941	0.075065	0.001073	0.471823
1.017292	0.995701	0.080070	0.001081	0.471326
1.110852	0.810050	0.085074	0.001064	0.470768
1.131211	0.631522	0.090078	0.001060	0.470140
1.077821	0.471116	0.095083	0.001070	0.469479
1.109102	0.267281	0.100087	0.001064	0.468770
1.193186	0.040415	0.105091	0.001049	0.468045
1.033278	-0.105273	0.110096	0.001078	0.467295
0.823468	-0.229643	0.115100	0.001117	0.466556
0.721432	-0.385320	0.120104	0.001136	0.465844
0.593756	-0.537515	0.125109	0.001159	0.465109
0.632634	-0.742566	0.130113	0.001152	0.464398
0.365013	-0.845020	0.135117	0.001201	0.463659
0.234210	-0.983914	0.140122	0.001225	0.462966
0.139874	-1.127271	0.145126	0.001243	0.462305
-0.011294	-1.250753	0.150130	0.001270	0.461640
-0.250657	-1.344119	0.155135	0.001314	0.460968
-0.670928	-1.338819	0.160139	0.001392	0.460422
-1.055091	-1.338126	0.165143	0.001462	0.459907
-1.409647	-1.300342	0.170148	0.001528	0.459570
-1.720853	-1.255670	0.175152	0.001585	0.459318
-1.898371	-1.259574	0.180156	0.001617	0.459063
-2.193559	-1.207227	0.185161	0.001672	0.458861
-2.474064	-1.137091	0.190165	0.001723	0.458746
-2.633857	-1.078846	0.195170	0.001753	0.458749
-2.790131	-1.022943	0.200174	0.001781	0.458748
-2.895190	-0.985168	0.205178	0.001801	0.458748
-2.899753	-0.995598	0.210183	0.001802	0.458703
-3.114401	-0.987573	0.215187	0.001841	0.458442
-3.037472	-1.015160	0.220191	0.001827	0.458442
-2.921944	-1.057204	0.225196	0.001806	0.458440
-3.228412	-1.008960	0.230200	0.001862	0.458207
-3.321880	-0.998991	0.235204	0.001879	0.458118
-3.234184	-1.030933	0.240209	0.001863	0.458116
-3.434903	-1.030273	0.245213	0.001900	0.457847
-3.605830	-0.980494	0.250217	0.001932	0.457803
-3.513751	-1.036680	0.255222	0.001915	0.457716
-3.902897	-0.956776	0.260226	0.001986	0.457490
-3.812198	-0.988401	0.265230	0.001969	0.457493
-3.921057	-0.991103	0.270235	0.001990	0.457335
-4.208211	-0.916129	0.275239	0.002042	0.457229
-4.324968	-0.874202	0.280243	0.002064	0.457229
-4.290139	-0.886099	0.285248	0.002057	0.457231
-4.435372	-0.911434	0.290252	0.002084	0.456938
-4.685094	-0.833541	0.295256	0.002130	0.456893
-4.646770	-0.846405	0.300261	0.002123	0.456897
-4.639970	-0.848213	0.305265	0.002122	0.456899
-4.835423	-0.861609	0.310269	0.002158	0.456583
-4.897852	-0.839425	0.315274	0.002169	0.456582
-5.019589	-0.795843	0.320278	0.002192	0.456581
-5.078894	-0.836306	0.325283	0.002203	0.456347
-4.968082	-0.898695	0.330287	0.002182	0.456262
-5.323225	-0.804761	0.335291	0.002247	0.456134
-5.963439	-0.598252	0.340296	0.002365	0.456045
-5.438195	-0.769086	0.345300	0.002269	0.456113
-6.304394	-0.458520	0.350304	0.002428	0.456110
-5.714817	-0.670899	0.355309	0.002320	0.456108
-5.926468	-0.636515	0.360313	0.002358	0.455950
-6.036982	-0.597262	0.365317	0.002379	0.455949
-5.923795	-0.638062	0.370322	0.002358	0.455948
-5.943984	-0.694456	0.375326	0.002362	0.455707
-6.109108	-0.656688	0.380330	0.002392	0.455625
-6.359971	-0.576938	0.385335	0.002438	0.455586
